EEG,alpha,beta,delta,theta
-5.46265,-0.262506,-0.647562,-0.484369,0.693924
-5.36499,-0.346158,0.0343638,-0.330064,0.798103
-2.46582,-0.368971,0.680526,-0.176936,0.893991
1.23291,-0.323086,1.22564,-0.0256552,0.974989
3.05786,-0.211644,1.61313,0.123104,1.03447
2.4353,-0.0482891,1.73626,0.268677,1.06617
1.48316,0.144864,1.45137,0.41041,1.06459
2.11182,0.340491,0.680354,0.547667,1.02533
2.17285,0.510011,-0.461622,0.679829,0.945504
0.573731,0.627679,-1.62028,0.806312,0.823942
-1.72119,0.674226,-2.31174,0.926564,0.661438
-2.97852,0.639545,-2.16188,1.04008,0.460837
-2.22168,0.524056,-1.14702,1.14639,0.227038
-0.421143,0.338618,0.324807,1.24508,-0.0331064
-0.305176,0.103079,1.57716,1.33581,-0.311015
-1.57471,-0.1563,2.01085,1.41824,-0.596692
-3.89405,-0.410169,1.4418,1.49214,-0.879118
-6.00586,-0.629669,0.222472,1.5573,-1.14672
-6.56128,-0.789804,-0.945428,1.61358,-1.38788
-5.78003,-0.872162,-1.41186,1.66091,-1.59148
-5.35279,-0.866751,-0.956568,1.69924,-1.74742
-4.63257,-0.77283,0.09006,1.72861,-1.8472
-3.8147,-0.598746,1.06217,1.74911,-1.88433
-2.20337,-0.360868,1.37505,1.76088,-1.85473
-2.00806,-0.0817983,0.877228,1.76412,-1.75703
-3.21655,0.21189,-0.084487,1.75905,-1.59267
-4.99878,0.492142,-0.918646,1.74594,-1.36604
-4.1565,0.731935,-1.1815,1.72509,-1.08431
-1.48926,0.907629,-0.841805,1.69683,-0.75727
0.012207,1.00101,-0.248407,1.66149,-0.396947
-0.20752,1.0009,0.157467,1.61943,-0.0170921
-1.84326,0.904203,0.16712,1.57104,0.367404
-2.62451,0.716472,-0.0681074,1.51669,0.741183
-2.34985,0.451834,-0.188382,1.45678,1.0891
-0.469971,0.132315,0.0695998,1.39167,1.39686
1.61743,-0.213557,0.648021,1.32174,1.65166
2.34985,-0.552904,1.19051,1.24735,1.84272
0.622559,-0.851333,1.29142,1.16886,1.96189
-3.07617,-1.07623,0.786191,1.08661,2.00405
-4.19312,-1.20023,-0.125739,1.00093,1.96741
-3.25318,-1.20453,-1.00615,0.912122,1.85363
-2.97852,-1.08161,-1.45337,0.820485,1.66774
-4.20532,-0.837096,-1.33276,0.726309,1.41798
-5.88379,-0.490296,-0.815456,0.629879,1.11539
-5.87769,-0.0732166,-0.22402,0.531475,0.77336
-4.97437,0.371972,0.185855,0.431371,0.406993
-4.26636,0.796961,0.354722,0.32984,0.0323911
-3.96118,1.15248,0.393001,0.227157,-0.334069
-3.86963,1.3941,0.451041,0.123598,-0.676496
-3.4729,1.488,0.59792,0.0194487,-0.980227
-3.70484,1.41585,0.788046,-0.084996,-1.23251
-2.61841,1.17818,0.910999,-0.189422,-1.42309
-2.99683,0.795477,0.862144,-0.293486,-1.54469
-4.44336,0.306795,0.580906,-0.396809,-1.5933
-6.39038,-0.234179,0.0563443,-0.498974,-1.56836
-7.53174,-0.765221,-0.664037,-0.599529,-1.47275
-9.17969,-1.22303,-1.44386,-0.697986,-1.3126
-11.7981,-1.55106,-2.03843,-0.793815,-1.09698
-13.617,-1.70682,-2.14552,-0.886445,-0.837447
-12.4451,-1.66765,-1.54746,-0.975261,-0.547487
-8.44727,-1.43422,-0.281981,-1.05961,-0.241856
-4.84009,-1.03107,1.28037,-1.1388,0.0641727
-3.66822,-0.504038,2.54555,-1.21211,0.355598
-3.39966,0.085323,2.97,-1.27877,0.61844
-2.55737,0.667412,2.35206,-1.33798,0.840407
-1.59912,1.17332,0.956721,-1.38892,1.01146
-1.67847,1.5435,-0.617636,-1.43075,1.12424
-4.19312,1.73531,-1.75521,-1.46263,1.17446
-5.49927,1.7283,-2.1257,-1.48374,1.16101
-6.17066,1.52671,-1.79171,-1.49325,1.08606
-5.88379,1.1585,-1.07849,-1.49038,0.95486
-6.32325,0.671395,-0.326575,-1.47436,0.775466
-6.84815,0.126188,0.285384,-1.44449,0.558227
-7.29371,-0.411402,0.737515,-1.40013,0.315229
-7.9834,-0.879374,1.03218,-1.34072,0.0596712
-8.61817,-1.22727,1.08142,-1.26578,-0.194819
-8.78296,-1.42215,0.748333,-1.17494,-0.434888
-8.61207,-1.45203,0.0253487,-1.06794,-0.648144
-9.13697,-1.32619,-0.813768,-0.944628,-0.82377
-9.89991,-1.07257,-1.26808,-0.805018,-0.953048
-8.91114,-0.732636,-0.904375,-0.64925,-1.02977
-5.09644,-0.354691,0.280776,-0.477619,-1.05054
-0.598145,0.0134059,1.71216,-0.29058,-1.01489
0.88501,0.33089,2.4793,-0.0887488,-0.9253
-1.25122,0.569175,1.88634,0.127096,-0.78701
-5.48096,0.714643,-0.0270441,0.356011,-0.607743
-7.78199,0.768836,-2.36989,0.596889,-0.39731
-6.82984,0.746206,-3.83657,0.848457,-0.167068
-3.69263,0.66995,-3.47702,1.10929,0.0707386
-0.256348,0.566733,-1.3261,1.3778,0.303671
2.18506,0.461281,1.53519,1.65228,0.519744
3.9856,0.371799,3.57218,1.93087,0.707997
4.5044,0.306952,3.70232,2.2116,0.859009
3.302,0.264892,1.9507,2.49241,0.96536
0.463867,0.234456,-0.568785,2.77115,1.02202
-0.744629,0.198327,-2.34644,3.04561,1.02657
1.50757,0.137533,-2.40888,3.31355,0.97933
5.0232,0.0364017,-0.898927,3.57271,0.883221
6.13404,-0.112998,1.05995,3.82085,0.743606
4.20532,-0.307781,2.11507,4.05572,0.567972
0.445557,-0.533106,1.55821,4.27516,0.365539
-2.771,-0.763256,-0.23981,4.47707,0.146769
-4.04053,-0.96491,-2.09809,4.65946,-0.0771795
-3.58887,-1.10219,-2.80288,4.82044,-0.295029
-1.69067,-1.1427,-1.87908,4.95831,-0.49596
0.20752,-1.06348,0.13322,5.07151,-0.670169
2.03247,-0.855959,2.04891,5.15867,-0.809353
2.63062,-0.528809,2.78945,5.21864,-0.907086
2.4231,-0.108399,2.02548,5.25051,-0.959094
1.63574,0.363529,0.320234,5.25358,-0.963433
1.47095,0.834627,-1.27639,5.22745,-0.920559
2.55737,1.24857,-1.88942,5.17194,-0.833265
4.25415,1.55262,-1.31146,5.08717,-0.70649
5.79224,1.70496,-0.0479924,4.97352,-0.547032
6.75049,1.68085,1.06154,4.83164,-0.363193
6.36597,1.47644,1.37118,4.66248,-0.164335
4.28467,1.10988,0.774943,4.46723,0.0396285
1.18408,0.61944,-0.304673,4.24738,0.238769
0.177002,0.058882,-1.22529,4.00463,0.42364
0.134277,-0.509318,-1.5055,3.74092,0.585727
0.292969,-1.02193,-1.05155,3.45843,0.71784
-0.0488282,-1.42296,-0.138034,3.15949,0.814453
-0.231934,-1.67059,0.790029,2.84664,0.871923
0.0183106,-1.74195,1.3463,2.52253,0.888615
0.469971,-1.63537,1.34639,2.18994,0.864908
-0.341797,-1.36969,0.835226,1.85175,0.803134
-1.27564,-0.98102,0.0356958,1.51089,0.707405
-1.9043,-0.517423,-0.734554,1.17031,0.583356
-2.31934,-0.0323231,-1.1603,0.832972,0.437799
-2.10571,0.422431,-1.04011,0.501781,0.278325
-0.695801,0.80284,-0.39224,0.179579,0.112884
1.17798,1.07747,0.502609,-0.130895,-0.050621
2.04468,1.23004,1.18494,-0.427037,-0.204735
0.811768,1.25979,1.2317,-0.706406,-0.342796
-1.34888,1.17964,0.511342,-0.96675,-0.459239
-2.91748,1.01264,-0.677714,-1.20603,-0.549835
-2.771,0.787506,-1.70739,-1.42244,-0.611874
-2.33765,0.533796,-1.94652,-1.61444,-0.644287
-1.9104,0.2778,-1.14337,-1.78075,-0.647638
2.122E-314,0.0395542,0.375064,-1.92038,-0.62402
1.79443,-0.168618,1.83964,-2.03264,-0.576845
2.36817,-0.341969,2.46041,-2.11716,-0.510584
1.42822,-0.48177,1.88924,-2.17386,-0.430466
-1.34277,-0.592762,0.434271,-2.20298,-0.342158
-2.78931,-0.680229,-1.11882,-2.20507,-0.251429
-3.2898,-0.747342,-1.97342,-2.18098,-0.163812
-2.98462,-0.793356,-1.78185,-2.13186,-0.0842636
-1.78223,-0.813033,-0.808187,-2.05912,-0.0168624
-0.891114,-0.797399,0.296529,-1.96442,0.03541
-0.848389,-0.7357,0.93668,-1.84968,0.0707941
-1.27564,-0.618212,0.923801,-1.717,0.088812
-1.32446,-0.439368,0.509122,-1.56867,0.0902889
-0.500489,-0.200587,0.107787,-1.40715,0.0773149
1.69067,0.0878434,-0.0510554,-1.23499,0.0531014
1.87988,0.406265,-0.0708185,-1.05487,0.0217263
1.79443,0.726775,-0.222915,-0.869504,-0.0121798
0.494385,1.0159,-0.618733,-0.681634,-0.0437508
0.775147,1.23854,-1.00975,-0.493989,-0.0681912
2.97852,1.36268,-0.919167,-0.309253,-0.081076
5.3833,1.36417,-0.0435921,-0.130034,-0.0786416
7.66602,1.23092,1.37878,0.0411722,-0.0580554
8.69141,0.965672,2.55941,0.202013,-0.0176524
7.82471,0.58697,2.59781,0.350311,0.0428874
4.62647,0.127977,1.11492,0.484085,0.122449
-0.0183106,-0.366751,-1.36038,0.601575,0.218495
-3.50342,-0.846102,-3.57215,0.701264,0.327152
-3.61939,-1.25824,-4.23537,0.781888,0.443371
-0.22583,-1.55677,-2.83055,0.842459,0.561149
2.97852,-1.70636,0.0248751,0.882268,0.673836
4.93164,-1.68734,2.89208,0.9009,0.774505
5.98755,-1.49827,4.33093,0.898235,0.856334
5.94483,-1.15649,3.71139,0.874445,0.912968
4.61426,-0.696225,1.51589,0.829988,0.938853
2.23999,-0.164808,-1.02403,0.765603,0.929552
0.12207,0.38275,-2.68258,0.682297,0.882007
1.26953,0.889993,-2.89013,0.581328,0.794765
4.35791,1.30532,-1.90503,0.464188,0.668141
5.719,1.58758,-0.484859,0.332586,0.504323
4.63867,1.71039,0.646045,0.188422,0.307386
1.69678,1.6646,1.16258,0.0337641,0.0831868
-0.183106,1.4589,1.15578,-0.129181,-0.160841
1.45264,1.11827,0.893932,-0.298108,-0.415978
4.02832,0.680793,0.572282,-0.470644,-0.67257
3.32642,0.192967,0.234727,-0.644382,-0.920432
-1.35498,-0.295545,-0.136033,-0.816914,-1.14927
-5.92652,-0.737283,-0.501957,-0.985855,-1.3491
-6.32935,-1.09175,-0.75439,-1.14888,-1.51068
-3.6438,-1.32916,-0.799532,-1.30376,-1.62597
-2.16675,-1.43286,-0.637553,-1.44838,-1.68852
-3.19214,-1.40022,-0.344345,-1.58079,-1.69389
-5.15137,-1.24209,0.0202406,-1.6992,-1.63984
-4.99878,-0.980721,0.462678,-1.80205,-1.52654
-2.53296,-0.646868,0.983794,-1.88796,-1.3566
1.40381,-0.276095,1.441,-1.9558,-1.13494
3.21045,0.0950539,1.50813,-2.00472,-0.868685
1.67236,0.432695,0.85066,-2.03409,-0.566901
-1.83716,0.708657,-0.554589,-2.04359,-0.240247
-3.71094,0.902716,-2.20513,-2.03317,0.0994467
-3.11279,1.00389,-3.20751,-2.00303,0.439654
-0.744629,1.01079,-2.77485,-1.95364,0.767654
2.99072,0.930971,-0.800687,-1.88576,1.07105
6.95801,0.779484,1.90682,-1.80039,1.3383
10.3149,0.576769,3.96942,-1.69875,1.55917
9.72291,0.346164,4.21309,-1.58231,1.7252
6.10352,0.111337,2.3976,-1.4527,1.83005
1.55029,-0.106129,-0.585648,-1.31177,1.86978
-0.573731,-0.288767,-3.2032,-1.16146,1.84303
0.421143,-0.424658,-4.15943,-1.00389,1.75113
2.46582,-0.508118,-3.11279,-0.841232,1.59799
4.41284,-0.53963,-0.793383,-0.675754,1.38999
5.41382,-0.525104,1.50882,-0.509751,1.13571
4.25415,-0.474611,2.7156,-0.345528,0.84564
2.61231,-0.400695,2.49723,-0.185361,0.531684
1.30615,-0.316434,1.29198,-0.0314674,0.20665
2.12402,-0.233546,-0.105487,0.114023,-0.116349
3.02124,-0.160806,-1.04699,0.249097,-0.424474
2.28272,-0.103003,-1.30297,0.371885,-0.705689
0.0183106,-0.0605502,-1.01191,0.480683,-0.949237
-1.23901,-0.0298047,-0.45388,0.573976,-1.14608
-0.00610352,-0.00410348,0.133791,0.650458,-1.28928
2.948,0.024628,0.594395,0.709048,-1.37427
5.0232,0.0639997,0.804201,0.748904,-1.39908
3.90015,0.119361,0.664742,0.769435,-1.36438
0.43335,0.192359,0.180868,0.770307,-1.27342
-1.30005,0.280034,-0.45856,0.751446,-1.13188
0.341797,0.374636,-0.921571,0.71304,-0.947571
3.75977,0.464251,-0.922613,0.655532,-0.730075
5.25513,0.53425,-0.43704,0.57961,-0.490315
4.18701,0.569385,0.243254,0.486197,-0.240067
1.89819,0.556257,0.694068,0.37644,0.00858896
1.41602,0.485796,0.669031,0.251697,0.243818
2.62451,0.35533,0.296574,0.113519,0.454555
4.35181,0.169907,-0.0126761,-0.0363688,0.630985
4.80957,-0.0574101,0.0950033,-0.196094,0.764967
2.83814,-0.306397,0.584838,-0.363658,0.850403
0.88501,-0.551655,0.989753,-0.536967,0.883541
0.0183106,-0.765497,0.734409,-0.713862,0.863166
-2.01416,-0.921349,-0.381334,-0.89215,0.790669
-5.05982,-0.997229,-1.904,-1.06963,0.669973
-8.19092,-0.978834,-2.90614,-1.24413,0.507358
-7.8125,-0.861799,-2.55913,-1.41353,0.311192
-4.37622,-0.652807,-0.732835,-1.57576,0.0915616
-0.921631,-0.369349,1.80175,-1.72886,-0.140211
1.64185,-0.0381085,3.74684,-1.87099,-0.372113
2.22778,0.307913,4.02267,-2.00048,-0.592014
-0.341797,0.633176,2.41703,-2.1158,-0.788216
-4.02832,0.903743,-0.275223,-2.21563,-0.949975
-6.36597,1.09123,-2.70936,-2.29881,-1.06799
-5.76172,1.17611,-3.75094,-2.36442,-1.13486
-2.73438,1.14983,-3.06716,-2.41172,-1.14544
-0.872803,1.01575,-1.21188,-2.44021,-1.09719
-0.653077,0.788422,0.79302,-2.44962,-0.990259
-0.793458,0.491691,2.06708,-2.43991,-0.827573
-0.164795,0.155711,2.28247,-2.41128,-0.614691
0.213623,-0.186675,1.6715,-2.36414,-0.359607
0.476075,-0.503662,0.718628,-2.29915,-0.0724271
0.0366211,-0.767784,-0.1858,-2.21713,0.235036
-0.561524,-0.958388,-0.886818,-2.11912,0.549739
-1.7334,-1.06308,-1.36379,-2.00633,0.857947
-2.67334,-1.07815,-1.5523,-1.88012,1.14583
-2.36206,-1.00804,-1.29576,-1.74197,1.40009
0.152588,-0.863952,-0.492331,-1.59352,1.60861
3.78418,-0.661866,0.695414,-1.43645,1.76097
5.09034,-0.420293,1.78539,-1.27252,1.84898
4.26026,-0.158244,2.18885,-1.10356,1.86697
2.771,0.106392,1.58623,-0.931401,1.81215
1.40381,0.357854,0.20088,-0.757863,1.68477
1.71509,0.582893,-1.26116,-0.584749,1.48814
2.20337,0.77059,-2.01501,-0.413807,1.22854
2.22168,0.911889,-1.69617,-0.246708,0.914998
2.54517,0.99912,-0.608675,-0.085027,0.558913
2.28882,1.02581,0.473711,0.06978,0.173605
1.36719,0.986934,0.840284,0.216388,-0.226189
-0.152588,0.879582,0.347675,0.35362,-0.6249
-1.15357,0.704056,-0.469693,0.480453,-1.00678
-0.671387,0.465084,-0.78474,0.596032,-1.35658
0.195313,0.172927,-0.105658,0.699678,-1.66026
1.70899,-0.155978,1.29896,0.790895,-1.90555
2.09351,-0.499083,2.50466,0.869373,-2.0825
1.40991,-0.828715,2.53032,0.934986,-2.18389
-1.76392,-1.11408,1.04011,0.987791,-2.20551
-5.70069,-1.32418,-1.34173,1.02802,-2.14638
-8.59376,-1.43141,-3.34913,1.05608,-2.00877
-8.21534,-1.41528,-3.84328,1.07252,-1.7982
-5.66407,-1.26589,-2.53098,1.07806,-1.52311
-2.11792,-0.986474,-0.150614,1.07354,-1.19459
0.854493,-0.594604,2.00084,1.05994,-0.825856
1.67847,-0.121672,2.87966,1.03833,-0.431685
1.42822,0.389449,2.30098,1.00989,-0.0277814
1.64185,0.888411,0.947727,0.975852,0.369879
3.15552,1.32267,-0.185971,0.937513,0.74571
5.45044,1.64344,-0.498476,0.896196,1.08518
6.9336,1.81162,-0.133683,0.853239,1.37543
7.34864,1.8029,0.238214,0.80997,1.60584
5.74952,1.6114,0.0116871,0.76769,1.76845
2.50244,1.25124,-0.850568,0.72765,1.85824
-1.2207,0.755765,-1.77393,0.691037,1.87337
-1.87378,0.174409,-2.00515,0.658964,1.8152
0.378418,-0.432562,-1.18673,0.632455,1.68826
3.43628,-1.00081,0.355138,0.612433,1.49995
3.34473,-1.46937,1.81104,0.599698,1.26014
0.592041,-1.78776,2.41659,0.59492,0.980702
-1.27564,-1.9219,1.92309,0.598626,0.674891
-1.67236,-1.85804,0.694672,0.611199,0.356753
-0.463867,-1.60439,-0.591897,0.632872,0.0404839
0.0366211,-1.19011,-1.38771,0.663726,-0.260213
-0.219727,-0.661764,-1.53335,0.703691,-0.532732
-0.878907,-0.0777716,-1.20342,0.752548,-0.766125
-0.0854493,0.498571,-0.654993,0.809938,-0.951579
1.62964,1.00645,-0.0283604,0.875372,-1.08279
3.73535,1.3944,0.643268,0.948234,-1.15622
5.3711,1.62584,1.27275,1.02779,-1.17119
7.4646,1.68268,1.61048,1.1132,-1.12984
7.8064,1.56665,1.3437,1.20352,-1.03693
5.39551,1.29826,0.360397,1.29774,-0.899513
1.52588,0.913592,-1.04001,1.39474,-0.726513
-0.421143,0.459375,-2.20196,1.49339,-0.528269
1.40991,-0.0129121,-2.45671,1.59249,-0.315999
4.98047,-0.453193,-1.54544,1.69082,-0.101245
6.86646,-0.818367,0.170703,1.78715,0.104702
7.05567,-1.07663,1.87583,1.88027,0.291381
5.896,-1.21015,2.74827,1.96898,0.449689
4.99878,-1.21581,2.41,2.05212,0.572324
5.91431,-1.10427,1.10059,2.12857,0.654103
6.25611,-0.897389,-0.507726,2.19728,0.692177
4.8523,-0.624648,-1.70562,2.25726,0.686117
2.53906,-0.319053,-2.09539,2.30762,0.637859
2.03858,-0.0130809,-1.7064,2.34754,0.551505
3.82691,0.264782,-0.867121,2.37634,0.43304
5.63965,0.492517,0.0305034,2.39341,0.289993
5.39551,0.655879,0.712392,2.39828,0.131048
5.76172,0.74852,1.07183,2.39058,-0.0344009
6.5857,0.77115,1.11837,2.37005,-0.196755
6.47583,0.730058,0.909469,2.33658,-0.346749
5.19409,0.635373,0.521504,2.29016,-0.475986
4.3274,0.499355,0.0552533,2.23092,-0.57741
4.81568,0.334955,-0.364818,2.1591,-0.64567
5.41382,0.154825,-0.623385,2.07503,-0.677345
4.49219,-0.0291801,-0.664037,1.97917,-0.671052
2.61231,-0.20605,-0.517255,1.87206,-0.62747
2.38648,-0.365408,-0.281829,1.75432,-0.549268
3.49121,-0.49727,-0.0697316,1.62667,-0.440961
4.07105,-0.592041,0.0511931,1.48992,-0.308647
3.24097,-0.640929,0.0845591,1.3449,-0.159662
2.78931,-0.636813,0.0916057,1.19255,-0.00214237
3.38135,-0.575438,0.146798,1.0338,0.155435
5.23682,-0.456701,0.285251,0.86966,0.304725
5.80445,-0.285817,0.467063,0.701131,0.437954
6.01197,-0.0741023,0.580509,0.529241,0.548325
5.68848,0.160933,0.494221,0.355019,0.630349
5.15747,0.396462,0.143373,0.179486,0.68013
4.46167,0.606303,-0.396226,0.00364821,0.695544
4.17481,0.763825,-0.904556,-0.171507,0.676329
3.94287,0.845435,-1.11265,-0.34502,0.624056
3.15552,0.834122,-0.859133,-0.515968,0.542004
2.34375,0.722543,-0.212652,-0.683469,0.434971
2.771,0.515174,0.533843,-0.846694,0.308995
3.34473,0.229121,1.01599,-1.00487,0.171
3.16162,-0.106713,1.01289,-1.15729,0.0283791
1.53198,-0.454255,0.581921,-1.30329,-0.111407
0.177002,-0.770502,0.0149551,-1.44228,-0.241214
-1.07422,-1.01291,-0.359382,-1.57374,-0.354561
-0.958253,-1.14516,-0.388726,-1.6972,-0.445957
0.518799,-1.14259,-0.17368,-1.81226,-0.51117
2.09961,-0.996415,0.0399961,-1.91859,-0.547426
1.84326,-0.716072,0.0603911,-2.01592,-0.553516
0.305176,-0.329236,-0.119522,-2.10407,-0.529826
0.170899,0.120731,-0.353362,-2.18287,-0.47829
0.787354,0.579637,-0.488915,-2.25225,-0.40225
1.87988,0.989097,-0.488962,-2.3122,-0.306264
2.18506,1.29413,-0.4156,-2.36274,-0.19584
3.22266,1.45071,-0.303612,-2.40399,-0.0771175
3.53394,1.43212,-0.0648388,-2.43607,0.0434811
3.14331,1.23333,0.448643,-2.45919,0.159605
2.98462,0.872607,1.24066,-2.47357,0.265302
4.95606,0.390032,2.00264,-2.47946,0.355312
7.22657,-0.156873,2.18014,-2.47717,0.425316
5.61524,-0.700145,1.31236,-2.46702,0.472134
-0.65918,-1.17006,-0.554599,-2.44935,0.493856
-7.18995,-1.50436,-2.70209,-2.42454,0.489903
-8.59986,-1.6568,-4.02276,-2.393,0.461004
-4.8584,-1.60373,-3.64971,-2.35514,0.409109
0.20752,-1.34786,-1.54765,-2.3114,0.337235
3.10669,-0.918436,1.3495,-2.26222,0.249264
3.82691,-0.367915,3.60198,-2.20807,0.149739
3.71704,0.234624,4.07821,-2.14942,0.043628
2.2461,0.812326,2.61797,-2.08674,-0.0639324
1.0376,1.29063,0.122967,-2.02054,-0.167917
0.299072,1.60718,-1.98609,-1.95128,-0.263682
1.99585,1.72019,-2.60664,-1.87947,-0.347201
4.23584,1.61414,-1.57132,-1.80559,-0.415226
5.11475,1.30202,0.314153,-1.73011,-0.465407
3.88184,0.823733,1.80176,-1.65352,-0.49633
1.10474,0.240964,1.95238,-1.57626,-0.507515
-1.53809,-0.370958,0.658791,-1.49879,-0.499364
-3.88794,-0.932973,-1.33573,-1.42152,-0.473093
-5.7312,-1.3727,-2.88893,-1.34487,-0.430645
-5.86548,-1.63391,-3.09614,-1.26922,-0.37457
-3.96118,-1.68382,-1.76299,-1.19493,-0.307881
-1.29395,-1.51727,0.51151,-1.12233,-0.233864
1.66016,-1.15724,2.65387,-1.05172,-0.155899
3.73535,-0.651543,3.65958,-0.983359,-0.0772808
4.87061,-0.0662683,3.0911,-0.917491,-0.0010457
3.61328,0.523065,1.28876,-0.854313,0.0701825
1.7273,1.04146,-0.813257,-0.793979,0.134315
1.30005,1.4241,-2.18264,-0.7366,0.189853
2.11792,1.62443,-2.24398,-0.682245,0.235881
3.69873,1.61974,-1.18715,-0.630945,0.272044
3.94287,1.41352,0.162681,-0.582693,0.298516
3.05176,1.0344,0.859326,-0.537445,0.315946
0.878907,0.531956,0.437338,-0.495115,0.325373
-3.44238,-0.0300621,-0.776012,-0.455569,0.3281
-5.79834,-0.582076,-1.85541,-0.418634,0.325565
-5.29785,-1.05754,-1.8764,-0.384097,0.319216
-1.59302,-1.40111,-0.542389,-0.351713,0.310416
3.10669,-1.57504,1.57203,-0.321212,0.300348
5.49317,-1.56315,3.33172,-0.292297,0.289939
4.6814,-1.3718,3.71501,-0.264647,0.27979
2.03858,-1.02808,2.42342,-0.237922,0.270152
-0.512696,-0.575596,0.0495506,-0.211766,0.260916
-0.769043,-0.0685356,-2.27993,-0.185811,0.251625
0.689698,0.435125,-3.53617,-0.159682,0.241498
0.952149,0.880423,-3.2999,-0.133002,0.229479
1.25732,1.22144,-1.87907,-0.105399,0.214317
1.89209,1.42588,-0.0352797,-0.0765129,0.194685
3.61328,1.4778,1.45145,-0.0460037,0.169312
4.35791,1.37818,2.11372,-0.0135604,0.137116
3.49121,1.14356,1.89454,0.0210882,0.0972989
2.36817,0.80309,1.05601,0.0581668,0.0494161
2.01416,0.394502,0.0202214,0.0978528,-0.00658717
2.03858,-0.0403383,-0.776446,0.140275,-0.0703435
0.341797,-0.459769,-1.01108,0.185512,-0.141041
-0.823975,-0.826169,-0.597719,0.233587,-0.217404
-0.286865,-1.10899,0.23247,0.284462,-0.297685
2.16675,-1.28677,0.982829,0.338038,-0.379664
3.05176,-1.34806,1.12273,0.394153,-0.460699
-0.0610352,-1.29146,0.416134,0.452577,-0.537812
-4.77295,-1.12485,-0.857551,0.513015,-0.60783
-7.02515,-0.864169,-1.98309,0.575108,-0.66753
-4.91944,-0.531928,-2.20484,0.638434,-0.713796
-0.128174,-0.155474,-1.21975,0.702508,-0.743753
3.63159,0.234803,0.561428,0.766794,-0.754902
4.66919,0.607451,2.19549,0.8307,-0.745217
3.22266,0.932086,2.75413,0.893597,-0.713253
1.89819,1.18156,1.90058,0.954821,-0.658249
1.67847,1.33402,0.116453,1.01368,-0.580216
2.17896,1.37471,-1.58127,1.06946,-0.479992
2.7832,1.29749,-2.25838,1.12144,-0.359244
3.59497,1.10579,-1.61992,1.1689,-0.220456
4.83399,0.813008,-0.153876,1.21112,-0.0669043
4.90723,0.442031,1.21163,1.24741,0.0973741
3.74756,0.0237831,1.69474,1.27711,0.267672
2.27051,-0.405207,1.10652,1.29961,0.43876
1.64795,-0.806003,-0.105948,1.31433,0.605083
1.22681,-1.14091,-1.20204,1.32076,0.760945
-0.354004,-1.37726,-1.61433,1.31846,0.900684
-1.81885,-1.49088,-1.23367,1.30705,1.01886
-0.152588,-1.46893,-0.368415,1.28627,1.1105
2.06299,-1.3116,0.530413,1.25591,1.1713
3.302,-1.03244,1.14831,1.21588,1.19791
4.56543,-0.657263,1.40522,1.1662,1.18805
4.82178,-0.221573,1.35735,1.10701,1.14066
5.0354,0.233075,1.04282,1.03853,1.05597
3.74756,0.663431,0.433111,0.961154,0.935583
2.75879,1.02908,-0.465102,0.875348,0.78247
2.67334,1.29661,-1.46477,0.7817,0.600937
1.84326,1.44301,-2.17519,0.680897,0.396493
0.0793458,1.45781,-2.17708,0.573726,0.175673
-0.854493,1.34363,-1.30374,0.461073,-0.0541779
0.714112,1.11535,0.176396,0.343913,-0.285159
2.87476,0.797904,1.63818,0.223301,-0.509107
3.80249,0.423152,2.42446,0.100364,-0.717935
2.70386,0.0263078,2.21847,-0.0237121,-0.903982
0.311279,-0.357748,1.21621,-0.147691,-1.06032
-2.49634,-0.697776,-0.0187972,-0.270302,-1.18104
-3.86353,-0.968756,-0.917322,-0.390259,-1.2615
-2.69165,-1.1535,-1.23221,-0.506277,-1.29851
-2.17285,-1.24321,-1.11374,-0.617091,-1.29056
-3.05786,-1.23718,-0.903305,-0.721462,-1.23787
-5.35889,-1.14165,-0.821702,-0.818198,-1.14247
-6.92749,-0.968374,-0.795918,-0.906166,-1.00811
-5.99366,-0.732952,-0.551143,-0.984304,-0.840153
-3.24097,-0.453261,0.114584,-1.05164,-0.645327
0.268555,-0.148192,1.09578,-1.1073,-0.431478
2.97241,0.163245,1.97426,-1.15053,-0.207251
3.71704,0.462478,2.25605,-1.18069,0.0182957
2.46582,0.731726,1.68239,-1.19727,0.236106
0.836182,0.954328,0.399018,-1.19991,0.437541
-0.189209,1.11524,-1.11858,-1.18839,0.614771
-0.286865,1.2018,-2.30987,-1.16265,0.761111
0.775147,1.2048,-2.77192,-1.12277,0.871287
0.531006,1.11964,-2.3716,-1.06902,0.941643
0.262451,0.947496,-1.22545,-1.00181,0.970278
0.463867,0.696183,0.366991,-0.921691,0.957136
2.63672,0.380595,1.971,-0.829392,0.904033
5.7312,0.0224668,3.06878,-0.725764,0.814581
6.48194,-0.350736,3.18901,-0.611794,0.693999
4.3335,-0.707816,2.12918,-0.488588,0.54883
0.177002,-1.01661,0.161035,-0.357355,0.386614
-3.44238,-1.24727,-1.9619,-0.2194,0.215537
-5.40161,-1.3757,-3.29597,-0.0761068,0.0440585
-4.23584,-1.38653,-3.19523,0.0710713,-0.119495
-1.08643,-1.27541,-1.71092,0.220632,-0.267348
1.75781,-1.04994,0.381501,0.371036,-0.392665
2.47193,-0.729506,1.99478,0.520731,-0.489879
1.2085,-0.343527,2.35288,0.668164,-0.554944
