EEG,alpha,beta,delta,theta
-0.848389,-0.0593688,1.26529,-0.484215,-0.445631
-3.18604,-0.19361,0.478889,-0.567854,-0.26783
-3.74146,-0.350248,-0.379188,-0.650958,-0.0815692
-1.87378,-0.509167,-0.735148,-0.732781,0.104589
-0.177002,-0.645781,-0.4416,-0.812589,0.282248
-0.311279,-0.734572,0.169222,-0.889665,0.443566
-1.78223,-0.753082,0.574297,-0.963318,0.581637
-2.84424,-0.685765,0.459747,-1.03289,0.690809
-2.33154,-0.527125,-0.0640605,-1.09777,0.766932
-1.3855,-0.283643,-0.576585,-1.15738,0.807511
-0.854493,0.0258863,-0.686194,-1.21124,0.811781
0.177002,0.371694,-0.329492,-1.2589,0.780711
0.701905,0.716033,0.192649,-1.29998,0.716913
1.14746,1.01746,0.460947,-1.33419,0.624461
-0.378418,1.23593,0.271947,-1.3613,0.508607
-1.86768,1.33803,-0.196051,-1.38114,0.375454
-1.37329,1.30173,-0.513351,-1.39365,0.231625
0.946045,1.11999,-0.331113,-1.39883,0.0839354
2.23389,0.80268,0.330735,-1.39678,-0.0609339
0.775147,0.376458,1.05798,-1.38767,-0.196765
-2.53296,-0.117514,1.31009,-1.37176,-0.318105
-4.5044,-0.627798,0.800651,-1.34939,-0.420499
-4.3274,-1.09835,-0.276764,-1.32094,-0.500652
-4.26636,-1.47498,-1.34287,-1.28689,-0.556503
-6.00586,-1.7119,-1.79223,-1.24775,-0.587246
-7.59278,-1.77745,-1.37814,-1.20408,-0.59328
-7.93458,-1.65827,-0.363517,-1.15652,-0.57612
-4.93775,-1.36136,0.660993,-1.10569,-0.538258
-2.44751,-0.913767,1.16253,-1.0523,-0.48297
-1.83106,-0.359889,0.990537,-0.997044,-0.414081
-2.4353,0.243228,0.426416,-0.940622,-0.335707
-2.99683,0.832199,-0.0578137,-0.883746,-0.251993
-1.84937,1.34442,-0.145347,-0.827117,-0.16688
0.115967,1.72515,0.124079,-0.771422,-0.0839113
2.2583,1.93365,0.428354,-0.71732,-0.00607713
2.91138,1.94769,0.436298,-0.665433,0.0643009
1.31836,1.76588,0.0626655,-0.616337,0.125643
-2.06299,1.40777,-0.48426,-0.570561,0.177124
-3.91846,0.911519,-0.881082,-0.528581,0.218634
-3.68653,0.329591,-0.935855,-0.490812,0.250696
-2.98462,-0.277213,-0.701616,-0.457603,0.274343
-2.83814,-0.846622,-0.377036,-0.429227,0.290957
-4.29077,-1.32177,-0.0981433,-0.405887,0.302076
-6.03638,-1.65724,0.181839,-0.387708,0.309204
-6.01807,-1.82363,0.605862,-0.374741,0.313655
-4.04053,-1.81021,1.18947,-0.366957,0.316428
-1.0437,-1.62536,1.67074,-0.364244,0.318101
0.390625,-1.29486,1.6094,-0.366413,0.318773
-2.14234,-0.858242,0.712921,-0.373196,0.318046
-5.97535,-0.363706,-0.841776,-0.384259,0.315083
-8.60596,0.137606,-2.36617,-0.399202,0.308678
-8.1482,0.597304,-2.99627,-0.41757,0.297363
-4.6753,0.974727,-2.22705,-0.438858,0.279522
-0.427246,1.24067,-0.292123,-0.462513,0.25356
2.0874,1.37956,1.89055,-0.487942,0.218084
1.5686,1.38983,3.20688,-0.514517,0.172076
-0.78125,1.28276,2.97644,-0.541582,0.115031
-3.41187,1.07994,1.33415,-0.568471,0.0470659
-4.83399,0.809707,-0.863327,-0.594513,-0.0310017
-5.46265,0.503331,-2.52978,-0.619049,-0.117617
-5.08423,0.191127,-2.92719,-0.641435,-0.210496
-4.97437,-0.100779,-1.99646,-0.661054,-0.306681
-4.99268,-0.352723,-0.294685,-0.677321,-0.402631
-5.09034,-0.55258,1.36141,-0.68969,-0.494353
-4.63867,-0.695607,2.30363,-0.697665,-0.577581
-3.24707,-0.78326,2.25982,-0.700805,-0.648007
-3.91236,-0.821355,1.37175,-0.698735,-0.701531
-5.70069,-0.817956,0.0520749,-0.691145,-0.734504
-8.64869,-0.781347,-1.20344,-0.677797,-0.743958
-10.4492,-0.718353,-1.97109,-0.65853,-0.727782
-11.2671,-0.633281,-2.00524,-0.633261,-0.684872
-9.63746,-0.52768,-1.30258,-0.601991,-0.615238
-6.21949,-0.40094,-0.114461,-0.564799,-0.520077
-2.98462,-0.251578,1.11943,-0.521847,-0.401774
-2.66724,-0.0788886,1.92197,-0.473365,-0.263837
-4.78516,0.115368,1.9689,-0.419661,-0.110769
-5.96314,0.325579,1.2339,-0.361113,0.0521246
-4.87671,0.541524,0.0125728,-0.298168,0.218959
-2.83203,0.74842,-1.19448,-0.231332,0.383526
-1.87378,0.927862,-1.89117,-0.161164,0.539573
-2.74658,1.0596,-1.79773,-0.0882652,0.681095
-3.72925,1.12398,-0.973806,-0.0132753,0.802594
-3.34473,1.10482,0.202603,0.0631363,0.899303
-0.964356,0.992203,1.19996,0.140278,0.967371
1.58692,0.784769,1.58004,0.217448,1.00401
1.48316,0.491155,1.21667,0.293942,1.00763
-1.7273,0.13026,0.36858,0.369067,0.977883
-5.81055,-0.269792,-0.455436,0.442143,0.915733
-6.39038,-0.673931,-0.789661,0.512519,0.823377
-3.97949,-1.04348,-0.501632,0.579577,0.704131
-1.33667,-1.34019,0.111485,0.642739,0.562244
-2.9419,-1.53052,0.511431,0.701476,0.402688
-7.34253,-1.58977,0.295829,0.755305,0.230961
-10.4614,-1.50537,-0.484223,0.803804,0.0528667
-9.90601,-1.27907,-1.30556,0.846612,-0.125736
-7.33643,-0.927353,-1.50402,0.883439,-0.299173
-5.52979,-0.480251,-0.752417,0.914074,-0.462172
-4.59595,0.0214421,0.651034,0.938383,-0.610024
-3.52783,0.530226,1.91694,0.956308,-0.738705
-2.28882,0.996793,2.26407,0.967869,-0.844957
-2.0813,1.37527,1.45186,0.973156,-0.926339
-3.66822,1.62819,-0.0351304,0.972332,-0.981239
-5.66407,1.73066,-1.30036,0.965629,-1.00886
-5.542,1.67305,-1.64052,0.953345,-1.00918
-3.03345,1.46206,-1.01661,0.93584,-0.982888
-1.28174,1.11985,-0.0500274,0.91353,-0.931311
-3.13111,0.681626,0.45758,0.886877,-0.856292
-7.78199,0.191676,0.132538,0.856387,-0.760095
-10.3821,-0.301522,-0.683566,0.822602,-0.645313
-9.3628,-0.750633,-1.18653,0.786087,-0.51478
-5.98145,-1.11455,-0.726207,0.747426,-0.371503
-2.81983,-1.36257,0.660124,0.70721,-0.218632
